MSSubClass,MSZoning,LotArea,LotShape,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,YrSold,SaleType,SaleCondition,GarageYrBlt_2,MoSold_2,ln_y
20,RL,8246,IR1,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,8,1968,2001,Gable,Plywood,Plywood,MnPrv,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,188,ALQ,668,204,1060,Ex,1060,0,0,1060,1,0,1,0,3,1,Gd,6,1,TA,Attchd,Unf,1,270,TA,406,90,0,0,0,0,MnPrv,0,2010,WD,Normal,1950_1980,Avril_Juin,11.944707881395766
20,RL,14230,Reg,Lvl,Corner,NridgHt,Norm,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,No_Fence,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1566,1566,Ex,1600,0,0,1600,0,0,2,0,3,1,Gd,7,1,Gd,Attchd,RFn,3,890,TA,0,56,0,0,0,0,No_Fence,0,2009,WD,Normal,2000_plus,Juillet_Septembre,12.454103912352162
20,RL,7200,Reg,Lvl,Corner,NAmes,Norm,1Fam,1Story,5,7,1951,2000,Gable,Wd Sdng,Wd Sdng,No_Fence,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234,Rec,486,180,900,TA,900,0,0,900,0,1,1,0,3,1,Gd,5,0,No_FirePlace,Detchd,Unf,2,576,TA,222,32,0,0,0,0,No_Fence,0,2010,WD,Normal,2000_plus,Avril_Juin,11.811547477460344
20,RL,11478,Reg,Lvl,Inside,NridgHt,Norm,1Fam,1Story,8,5,2007,2008,Gable,VinylSd,VinylSd,No_Fence,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,0,486,1704,Ex,1704,0,0,1704,1,0,2,0,3,1,Gd,7,1,Gd,Attchd,RFn,3,772,TA,0,50,0,0,0,0,No_Fence,0,2010,WD,Normal,2000_plus,Avril_Juin,12.631340380934517
20,RL,16321,IR1,Lvl,CulDSac,NAmes,Norm,1Fam,1Story,5,6,1957,1997,Gable,MetalSd,MetalSd,No_Fence,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,Unf,0,207,1484,TA,1600,0,0,1600,1,0,1,0,2,1,TA,6,2,Gd,Attchd,RFn,1,319,TA,288,258,0,0,0,0,No_Fence,0,2006,WD,Normal,1950_1980,Octobre_Decembre,12.24288661865289
30,RM,6324,IR1,Lvl,Inside,BrkSide,Feedr,1Fam,1Story,4,6,1927,1950,Gable,MetalSd,MetalSd,No_Fence,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,520,520,Fa,520,0,0,520,0,0,1,0,1,1,Fa,4,0,No_FirePlace,Detchd,Unf,1,240,Fa,49,0,87,0,0,0,No_Fence,0,2008,WD,Normal,1900_1950,Avril_Juin,11.134589024250317
70,C (all),8500,Reg,Lvl,Inside,IDOTRR,Feedr,1Fam,2Story,4,4,1920,1950,Gambrel,BrkFace,BrkFace,MnPrv,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,0,649,649,TA,649,668,0,1317,0,0,1,0,3,1,TA,6,0,No_FirePlace,Detchd,Unf,1,250,TA,0,54,172,0,0,0,MnPrv,0,2008,WD,Normal,1900_1950,Juillet_Septembre,10.596634733096073
20,RL,8544,IR1,Lvl,CulDSac,Sawyer,Norm,1Fam,1Story,5,6,1966,2006,Gable,HdBoard,HdBoard,MnPrv,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1228,1228,Gd,1228,0,0,1228,0,0,1,1,3,1,Gd,6,0,No_FirePlace,Attchd,Unf,1,271,TA,0,65,0,0,0,0,MnPrv,0,2008,WD,Normal,1950_1980,Avril_Juin,11.914047823644255
20,RL,11049,Reg,Lvl,Corner,CollgCr,Norm,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,No_Fence,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1234,1234,Ex,1234,0,0,1234,0,0,2,0,3,1,Gd,7,0,No_FirePlace,Attchd,RFn,2,484,TA,0,30,0,0,0,0,No_Fence,0,2008,WD,Normal,2000_plus,Janvier_Mars,12.100156419938624
20,RL,10552,IR1,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,5,1959,1959,Hip,BrkFace,BrkFace,No_Fence,0.0,TA,TA,CBlock,TA,TA,No,Rec,1018,Unf,0,380,1398,Gd,1700,0,0,1700,0,1,1,1,4,1,Gd,6,1,Gd,Attchd,RFn,2,447,TA,0,38,0,0,0,0,No_Fence,0,2010,WD,Normal,1950_1980,Avril_Juin,12.016726473799254
120,RL,7313,Reg,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,No_Fence,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,1153,Unf,0,408,1561,Ex,1561,0,0,1561,1,0,2,0,2,1,Ex,6,1,Gd,Attchd,Fin,2,556,TA,203,47,0,0,0,0,No_Fence,0,2007,WD,Normal,2000_plus,Juillet_Septembre,12.533576212168626
60,RL,13418,Reg,Lvl,Inside,NridgHt,Norm,1Fam,2Story,8,5,2004,2005,Gable,VinylSd,VinylSd,No_Fence,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1117,1117,Ex,1132,1320,0,2452,0,0,3,1,4,1,Gd,9,1,Gd,BuiltIn,Fin,3,691,TA,113,32,0,0,0,0,No_Fence,0,2006,WD,Normal,2000_plus,Juillet_Septembre,12.641096555879882
20,RL,10859,Reg,Lvl,Corner,CollgCr,Norm,1Fam,1Story,5,5,1994,1995,Gable,VinylSd,VinylSd,No_Fence,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1097,1097,Ex,1097,0,0,1097,0,0,1,1,3,1,TA,6,0,No_FirePlace,Attchd,Unf,2,672,TA,392,64,0,0,0,0,No_Fence,0,2009,WD,Normal,1980_200,Avril_Juin,11.884489021402711
20,RL,8532,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,6,1954,1990,Hip,Wd Sdng,Wd Sdng,No_Fence,650.0,TA,TA,CBlock,TA,TA,No,Rec,1213,Unf,0,84,1297,Gd,1297,0,0,1297,0,1,1,0,3,1,TA,5,1,TA,Attchd,Fin,2,498,TA,0,0,0,0,0,0,No_Fence,0,2009,WD,Normal,1950_1980,Octobre_Decembre,11.938193200374572
20,RL,7922,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,7,1953,2007,Gable,VinylSd,VinylSd,No_Fence,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731,Unf,0,326,1057,TA,1057,0,0,1057,1,0,1,0,3,1,Gd,5,0,No_FirePlace,Detchd,Unf,1,246,TA,0,52,0,0,0,0,No_Fence,0,2010,WD,Abnorml,1950_1980,Janvier_Mars,11.59910316121128
90,RL,6040,Reg,Lvl,Inside,Edwards,Norm,Duplex,1Story,4,5,1955,1955,Gable,AsbShng,Plywood,No_Fence,0.0,TA,TA,PConc,No_Basement,No_Basement,No_Basement,No_Basement,0,No_Basement,0,0,0,TA,1152,0,0,1152,0,0,2,0,2,2,Fa,6,0,No_FirePlace,No_Garage,No_Garage,0,0,No_Garage,0,0,0,0,0,0,No_Fence,0,2008,WD,AdjLand,None,Avril_Juin,11.314474526246391
20,RL,8658,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,5,1965,1965,Gable,Wd Sdng,Wd Sdng,GdWo,101.0,TA,TA,CBlock,TA,TA,No,Rec,643,Unf,0,445,1088,Ex,1324,0,0,1324,0,0,2,0,3,1,TA,6,1,TA,Attchd,RFn,2,440,TA,0,138,0,0,0,0,GdWo,0,2006,WD,Abnorml,1950_1980,Octobre_Decembre,11.982929094215963
20,RL,16905,Reg,Lvl,Inside,Timber,Norm,1Fam,1Story,5,6,1959,1959,Gable,VinylSd,VinylSd,No_Fence,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,967,Unf,0,383,1350,Gd,1328,0,0,1328,0,1,1,1,2,1,TA,5,2,Gd,Attchd,RFn,1,308,TA,0,104,0,0,0,0,No_Fence,0,2007,WD,Normal,1950_1980,Juillet_Septembre,12.043553716032399
85,RL,9180,IR1,Lvl,CulDSac,SawyerW,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,HdBoard,HdBoard,MnPrv,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,747,LwQ,93,0,840,Gd,884,0,0,884,1,0,1,0,2,1,Gd,5,0,No_FirePlace,Attchd,RFn,2,504,TA,240,0,0,0,0,0,MnPrv,0,2007,WD,Normal,1980_200,Octobre_Decembre,11.877568578558138
20,RL,9200,IR1,Lvl,CulDSac,CollgCr,Norm,1Fam,1Story,5,6,1975,1980,Hip,VinylSd,VinylSd,MnPrv,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,280,BLQ,491,167,938,TA,938,0,0,938,1,0,1,0,3,1,TA,5,0,No_FirePlace,Detchd,Unf,1,308,TA,145,0,0,0,0,0,MnPrv,0,2008,WD,Normal,1950_1980,Juillet_Septembre,11.777210959615614
20,RL,7945,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,6,1959,1959,Gable,BrkFace,Wd Sdng,No_Fence,0.0,TA,TA,CBlock,TA,TA,No,ALQ,179,BLQ,506,465,1150,Ex,1150,0,0,1150,1,0,1,0,3,1,TA,6,0,No_FirePlace,Attchd,RFn,1,300,TA,0,0,0,0,0,0,No_Fence,0,2006,WD,Normal,1950_1980,Avril_Juin,11.856515169360305
120,RL,7658,Reg,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,No_Fence,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,456,Unf,0,1296,1752,Ex,1752,0,0,1752,1,0,2,0,2,1,Ex,6,1,Gd,Attchd,RFn,2,576,TA,196,82,0,0,0,0,No_Fence,0,2010,WD,Normal,2000_plus,Janvier_Mars,12.675763725937609
50,RL,12822,IR1,Lvl,CulDSac,Mitchel,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,VinylSd,VinylSd,No_Fence,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,1351,Unf,0,83,1434,Ex,1518,631,0,2149,1,0,1,1,1,1,Gd,6,1,Ex,Attchd,RFn,2,670,TA,168,43,0,0,198,0,No_Fence,0,2009,WD,Abnorml,2000_plus,Juillet_Septembre,12.387085012375499
20,FV,11096,Reg,Lvl,Inside,Somerst,Norm,1Fam,1Story,8,5,2006,2006,Gable,VinylSd,VinylSd,No_Fence,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24,Unf,0,1632,1656,Ex,1656,0,0,1656,0,0,2,0,3,1,Gd,7,0,No_FirePlace,Attchd,RFn,3,826,TA,0,146,0,0,0,0,No_Fence,0,2007,WD,Normal,2000_plus,Juillet_Septembre,12.428015476267865
190,RM,4456,Reg,Lvl,Inside,OldTown,Norm,2fmCon,2Story,4,5,1920,2008,Gable,MetalSd,MetalSd,No_Fence,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,736,736,Gd,736,716,0,1452,0,0,2,0,2,3,TA,8,0,No_FirePlace,No_Garage,No_Garage,0,0,No_Garage,0,0,102,0,0,0,No_Fence,0,2009,New,Partial,None,Avril_Juin,11.635143097694478
20,RL,7742,Reg,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,7,1966,1966,Gable,HdBoard,HdBoard,MnPrv,0.0,TA,TA,CBlock,TA,TA,No,BLQ,763,Unf,0,192,955,Ex,955,0,0,955,1,0,1,0,3,1,TA,6,0,No_FirePlace,Attchd,Unf,1,386,TA,0,0,0,0,0,0,MnPrv,0,2007,WD,Normal,1950_1980,Janvier_Mars,11.751942365440728
60,RL,13869,IR2,Lvl,Corner,Gilbert,Norm,1Fam,2Story,6,6,1997,1997,Gable,VinylSd,VinylSd,No_Fence,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,182,Unf,0,612,794,Gd,794,676,0,1470,0,1,2,0,3,1,TA,6,0,No_FirePlace,Attchd,Fin,2,388,TA,0,75,0,0,0,0,No_Fence,0,2007,WD,Normal,1980_200,Juillet_Septembre,12.083905011555967
50,RM,6240,Reg,Lvl,Inside,BrkSide,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,Wd Sdng,Wd Sdng,MnPrv,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,816,816,TA,816,0,360,1176,0,0,1,0,3,1,TA,6,1,Gd,Detchd,Unf,2,528,TA,112,0,0,0,0,0,MnPrv,400,2006,WD,Normal,1980_200,Juillet_Septembre,11.648330101976432
90,RM,8472,IR2,Bnk,Corner,IDOTRR,RRNn,Duplex,1Story,5,5,1963,1963,Gable,Wd Sdng,Wd Sdng,No_Fence,0.0,Fa,TA,CBlock,Gd,TA,Gd,LwQ,104,GLQ,712,0,816,TA,816,0,0,816,1,0,1,0,2,1,TA,5,0,No_FirePlace,CarPort,Unf,2,516,TA,106,0,0,0,0,0,No_Fence,0,2010,WD,Normal,1950_1980,Avril_Juin,11.608235644774552
20,RL,50271,IR1,Low,Inside,Veenker,Norm,1Fam,1Story,9,5,1981,1987,Gable,WdShing,Wd Shng,No_Fence,0.0,Gd,TA,CBlock,Ex,TA,Gd,GLQ,1810,Unf,0,32,1842,Gd,1842,0,0,1842,2,0,0,1,0,1,Gd,5,1,Gd,Attchd,Fin,3,894,TA,857,72,0,0,0,0,No_Fence,0,2006,WD,Normal,1980_200,Octobre_Decembre,12.86099861326992
80,RL,7134,Reg,Bnk,Inside,NAmes,Norm,1Fam,SLvl,5,5,1955,1955,Gable,MetalSd,MetalSd,MnPrv,0.0,TA,TA,CBlock,TA,TA,No,ALQ,384,Unf,0,0,384,TA,1360,0,0,1360,0,0,1,0,3,1,TA,6,1,TA,Detchd,Unf,2,572,TA,0,50,0,0,0,0,MnPrv,0,2007,WD,Normal,1950_1980,Janvier_Mars,11.77528972943772
20,RL,10175,IR1,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,5,1964,1964,Gable,HdBoard,Plywood,No_Fence,272.0,TA,TA,CBlock,TA,TA,No,BLQ,490,Unf,0,935,1425,Gd,1425,0,0,1425,0,0,2,0,3,1,TA,7,1,Gd,Attchd,RFn,2,576,TA,0,0,0,407,0,0,No_Fence,0,2008,WD,Normal,1950_1980,Juillet_Septembre,12.103486056755072
160,FV,2645,Reg,Lvl,Inside,Somerst,Norm,Twnhs,2Story,8,5,1999,2000,Gable,MetalSd,MetalSd,No_Fence,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,649,Unf,0,321,970,Ex,983,756,0,1739,1,0,2,1,3,1,Gd,7,0,No_FirePlace,Attchd,Fin,2,480,TA,115,0,0,0,0,0,No_Fence,0,2009,WD,Abnorml,1980_200,Juillet_Septembre,12.058152515453552
60,RL,11645,IR1,Lvl,Corner,CollgCr,Norm,1Fam,2Story,7,5,2004,2004,Gable,VinylSd,VinylSd,No_Fence,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,860,860,Ex,860,860,0,1720,0,0,2,1,3,1,Gd,7,0,No_FirePlace,Attchd,RFn,2,565,TA,0,70,0,0,0,0,No_Fence,0,2006,WD,Normal,2000_plus,Juillet_Septembre,12.188417710291453
